episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
43, -3575.3365155137144, 2, 26.87418326700572, 986, 56931,                                             56931, 0.0, 275049.125
44, -4090.591186285019, 3, 21.674798464024207, 796, 57727,                                             57727, 0.0, 283986.5625
45, -3783.667407785979, 2, 12.232471130992053, 444, 58171,                                             58171, 0.0, 258203.8125
46, -607.4682593330144, 4, 26.778725217998726, 942, 59113,                                             59113, 0.0, 331865.90625
47, 463.83555664279993, 4, 27.88393104998977, 1021, 60134,                                             60134, 0.0, 344160.3125
48, -3194.995976897495, 2, 22.237722879013745, 788, 60922,                                             60922, 0.0, 295665.125
49, -4035.8633835315704, 2, 11.4357525150117, 401, 61323,                                             61323, 0.0, 279860.59375
50, -2303.0490659017814, 2, 23.967748002993176, 865, 62188,                                             62188, 0.0, 344501.78125
51, -3778.609065722325, 2, 23.601488228014205, 817, 63005,                                             63005, 0.0, 335593.84375
52, -5723.711417585437, 4, 26.06716539399349, 925, 63930,                                             63930, 0.0, 319846.1875
53, -1172.45670639351, 4, 24.875782237999374, 921, 64851,                                             64851, 0.0, 310864.0625
54, -3207.078456341871, 3, 24.855406786024105, 864, 65715,                                             65715, 0.0, 284309.0
55, -1234.2681225687265, 4, 23.86631876300089, 871, 66586,                                             66586, 0.0, 300710.3125
56, -2626.624394953251, 2, 16.95041270897491, 602, 67188,                                             67188, 0.0, 270048.75
57, -5468.036989622877, 2, 19.067856711015338, 670, 67858,                                             67858, 0.0, 275483.09375
58, -708.7440127818263, 4, 25.046832772000926, 902, 68760,                                             68760, 0.0, 298952.71875
59, -6231.933786273003, 2, 19.151590335997753, 686, 69446,                                             69446, 0.0, 351886.78125
60, -88.24174159116228, 4, 22.868468583008507, 813, 70259,                                             70259, 0.0, 331567.34375
61, 912.5027255092282, 4, 23.962536239007022, 877, 71136,                                             71136, 0.0, 358592.8125
62, 221.3040300260327, 4, 22.873520788998576, 831, 71967,                                             71967, 0.0, 389189.78125
63, -377.85250066709705, 4, 23.875457340996945, 892, 72859,                                             72859, 0.0, 367480.96875
64, 4006.760256596841, 1, 17.364606553979684, 631, 73490,                                             73490, 0.0, 384961.0625
65, -2800.7191020147875, 4, 23.45823773101438, 838, 74328,                                             74328, 0.0, 376891.34375
66, -3643.4467194080353, 4, 21.869230794982286, 758, 75086,                                             75086, 0.0, 361646.53125
67, -4296.695710775442, 2, 17.94090215599863, 652, 75738,                                             75738, 0.0, 398552.96875
68, -553.5304463249631, 4, 22.07637044598232, 788, 76526,                                             76526, 0.0, 487213.59375
69, -3622.9428554589394, 3, 18.070656241005054, 623, 77149,                                             77149, 0.0, 461908.1875
70, -2843.767320076644, 2, 12.130861855985131, 401, 77550,                                             77550, 0.0, 488608.34375
71, 189.5267062294879, 4, 21.159648050001124, 755, 78305,                                             78305, 0.0, 366069.78125
72, -484.33919277531095, 4, 21.0655359190132, 718, 79023,                                             79023, 0.0, 357615.1875
73, -3955.5220042467117, 3, 15.752779914997518, 570, 79593,                                             79593, 0.0, 486613.625
74, 1005.2117300033569, 4, 22.064190292992862, 796, 80389,                                             80389, 0.0, 373939.75
75, -3929.1970527847297, 3, 14.352568700007396, 542, 80931,                                             80931, 0.0, 350192.96875
76, -2857.0307739772834, 2, 13.436652325995965, 507, 81438,                                             81438, 0.0, 427803.78125
77, -876.1848710775375, 4, 20.070010889001423, 686, 82124,                                             82124, 0.0, 397546.3125
78, 539.1550989451353, 4, 20.563830439001322, 748, 82872,                                             82872, 0.0, 500858.3125
79, 4302.514215886593, 1, 13.233322496991605, 487, 83359,                                             83359, 0.0, 391729.25
80, -3715.7853279644623, 2, 9.332104724977398, 313, 83672,                                             83672, 0.0, 428308.28125
81, -134.4973923942889, 4, 20.873568914976204, 744, 84416,                                             84416, 0.0, 504587.28125
82, -2434.841088473797, 2, 13.534386270999676, 471, 84887,                                             84887, 0.0, 433825.46875
83, 418.4308585913386, 4, 19.66852562400163, 694, 85581,                                             85581, 0.0, 487609.03125
84, -4012.0627923626453, 4, 18.866473361005774, 649, 86230,                                             86230, 0.0, 450752.0625
85, -3661.907968702726, 3, 16.945944549981505, 586, 86816,                                             86816, 0.0, 433399.09375
86, 771.2598112920532, 4, 19.65788960401551, 691, 87507,                                             87507, 0.0, 388666.90625
87, 102.40234765392961, 4, 19.848756765015423, 684, 88191,                                             88191, 0.0, 385231.125
88, 3611.4387698173523, 1, 1.7198118079977576, 51, 88242,                                             88242, 0.0, 379664.34375
89, 3610.7648841142654, 1, 2.1029424209846184, 65, 88307,                                             88307, 0.0, 400015.5625
90, -4316.247120250948, 2, 9.935856711992528, 348, 88655,                                             88655, 0.0, 467293.15625
91, -7110.753058074508, 2, 19.158419546001824, 694, 89349,                                             89349, 0.0, 380297.28125
92, -4553.768499658443, 2, 14.554272327019135, 522, 89871,                                             89871, 0.0, 387947.9375
93, -222.41308472852688, 4, 19.052913405001163, 656, 90527,                                             90527, 0.0, 384946.9375
94, -792.8637824701145, 4, 18.46421360297245, 672, 91199,                                             91199, 0.0, 377282.90625
95, -4303.820210276172, 2, 9.527323440008331, 345, 91544,                                             91544, 0.0, 417310.0625
96, -2730.989664018154, 2, 10.94062728600693, 377, 91921,                                             91921, 0.0, 418448.15625
97, -146.07329679955728, 4, 18.858640320017003, 647, 92568,                                             92568, 0.0, 386857.65625
98, -3472.213273970643, 2, 16.754129100998398, 589, 93157,                                             93157, 0.0, 348334.34375
99, -3337.874704943446, 2, 8.674832845979836, 304, 93461,                                             93461, 0.0, 386919.09375
100, -457.2023403418716, 4, 16.94318539201049, 586, 94047,                                             94047, 0.0, 321758.28125
101, -3557.3408145771828, 2, 9.569022423995193, 318, 94365,                                             94365, 0.0, 384542.4375
102, -95.60100398588838, 4, 16.761383523989934, 564, 94929,                                             94929, 0.0, 357725.625
103, 3478.4968359752093, 1, 3.706881127000088, 123, 95052,                                             95052, 0.0, 345709.75
104, -3268.6815177596873, 2, 11.433273224014556, 409, 95461,                                             95461, 0.0, 342870.0
105, -517.6081272215815, 4, 17.75490160699701, 630, 96091,                                             96091, 0.0, 360506.1875
106, -1978.1547023018356, 4, 15.860964366002008, 568, 96659,                                             96659, 0.0, 336087.90625
107, 3872.7126531703398, 1, 11.731330069014803, 426, 97085,                                             97085, 0.0, 373294.125
108, -3390.90544508741, 2, 9.236871503002476, 330, 97415,                                             97415, 0.0, 354967.09375
109, -3504.5051603734028, 2, 8.937615644012112, 314, 97729,                                             97729, 0.0, 355789.875
110, -3525.9406099678017, 2, 11.73226960899774, 417, 98146,                                             98146, 0.0, 290678.1875
111, -3130.809646410984, 2, 11.732633017003536, 420, 98566,                                             98566, 0.0, 297202.625
112, -7635.005457757041, 2, 15.94742261999636, 537, 99103,                                             99103, 0.0, 316854.875
113, -3238.079796388105, 3, 14.24484734100406, 516, 99619,                                             99619, 0.0, 281405.375
114, -2673.08297329404, 2, 13.948607536003692, 492, 100111,                                             100111, 0.0, 251864.515625
115, -187.0771287442185, 4, 16.034349952999037, 561, 100672,                                             100672, 0.0, 244152.15625
116, -3593.859021086246, 2, 9.938355524005601, 346, 101018,                                             101018, 0.0, 222608.34375
117, -2608.4897418022156, 2, 15.847661313018762, 536, 101554,                                             101554, 0.0, 270139.71875
118, -3053.37111360766, 2, 11.13315591099672, 372, 101926,                                             101926, 0.0, 241906.703125
119, -494.7484424007125, 4, 15.039391111989971, 522, 102448,                                             102448, 0.0, 256071.75
120, 3564.8891220763326, 1, 6.7193185899814125, 229, 102677,                                             102677, 0.0, 236270.203125
121, -5954.67848201585, 2, 9.244876841985388, 320, 102997,                                             102997, 0.0, 241432.15625
122, -3666.225449159043, 2, 13.032742107985541, 439, 103436,                                             103436, 0.0, 272403.9375
123, 3742.6360952854156, 1, 4.926868309994461, 168, 103604,                                             103604, 0.0, 259596.625
124, -3893.5321002403944, 2, 6.117437733977567, 210, 103814,                                             103814, 0.0, 250531.046875
125, -3044.973962455988, 2, 12.042245631979313, 432, 104246,                                             104246, 0.0, 253766.234375
126, -3023.9706706106663, 2, 11.541153466008836, 414, 104660,                                             104660, 0.0, 239683.265625
127, 550.3550159454935, 4, 14.652193907997571, 531, 105191,                                             105191, 0.0, 237767.796875
128, 430.5473166008014, 4, 14.740364002995193, 524, 105715,                                             105715, 0.0, 225062.71875
129, 402.3049072275171, 4, 14.045756905979943, 491, 106206,                                             106206, 0.0, 213326.96875
130, -3412.176985399332, 2, 9.529802395991283, 323, 106529,                                             106529, 0.0, 236621.28125
131, -1517.4079279694706, 4, 13.650975741998991, 485, 107014,                                             107014, 0.0, 211986.765625
132, -16.005295613082126, 4, 14.038222939008847, 507, 107521,                                             107521, 0.0, 201684.015625
133, -3837.86706578359, 2, 11.343781161995139, 381, 107902,                                             107902, 0.0, 238164.046875
134, 234.3699124455452, 4, 13.836749114998383, 495, 108397,                                             108397, 0.0, 238506.796875
135, 258.033709256124, 4, 12.746108458988601, 442, 108839,                                             108839, 0.0, 214406.5625
136, 3557.985093355179, 1, 1.304963870003121, 30, 108869,                                             108869, 0.0, 137727.828125
137, 190.5542324767448, 4, 12.818526079005096, 463, 109332,                                             109332, 0.0, 200322.546875
138, 288.80119892879156, 4, 13.735066208988428, 474, 109806,                                             109806, 0.0, 190940.984375
139, -4495.71972486726, 2, 12.65780847001588, 415, 110221,                                             110221, 0.0, 182322.25
140, -4998.304659092799, 2, 12.73185051899054, 452, 110673,                                             110673, 0.0, 177563.421875
141, 108.71288548216398, 4, 13.539591692999238, 474, 111147,                                             111147, 0.0, 153566.15625
142, 3704.1102972626686, 1, 4.313251156010665, 144, 111291,                                             111291, 0.0, 169297.125
143, -1134.8822415877203, 4, 12.745393892982975, 451, 111742,                                             111742, 0.0, 159783.609375
144, -170.36980637034867, 4, 13.034474606014555, 437, 112179,                                             112179, 0.0, 158751.265625
145, -3895.707586570643, 2, 10.944041489012307, 393, 112572,                                             112572, 0.0, 152051.609375
146, 509.8584055304527, 4, 12.729811943980167, 452, 113024,                                             113024, 0.0, 149898.28125
147, -3413.094151803991, 2, 11.656405660003657, 417, 113441,                                             113441, 0.0, 142961.953125
148, 647.0825224518776, 4, 12.731406556995353, 438, 113879,                                             113879, 0.0, 144261.296875
149, 161.2677439933177, 4, 11.848352702974807, 399, 114278,                                             114278, 0.0, 128094.4140625
150, -4092.679781491228, 2, 10.3298846000107, 358, 114636,                                             114636, 0.0, 132197.765625
151, -3486.071063220501, 2, 11.957063902984373, 428, 115064,                                             115064, 0.0, 147094.25
152, 3850.598784804344, 1, 6.315985127002932, 219, 115283,                                             115283, 0.0, 130917.5078125
153, -4096.953112844378, 2, 6.3299538340070285, 221, 115504,                                             115504, 0.0, 118343.1875
154, 213.89442272135057, 4, 12.735809269011952, 451, 115955,                                             115955, 0.0, 119934.953125
155, -148.939996778965, 4, 10.842055938002886, 374, 116329,                                             116329, 0.0, 120669.9453125
156, -3890.1900851130486, 2, 9.52130300202407, 322, 116651,                                             116651, 0.0, 127921.015625
157, 3718.6926888227463, 1, 4.122300807008287, 134, 116785,                                             116785, 0.0, 108954.5859375
158, -1249.9860993921757, 4, 11.25562673099921, 390, 117175,                                             117175, 0.0, 125721.9921875
159, -3581.1254947584457, 2, 10.543358912982512, 362, 117537,                                             117537, 0.0, 121217.3359375
160, -4516.606877148151, 2, 10.536991378990933, 364, 117901,                                             117901, 0.0, 114848.5390625
161, -123.85357484605629, 4, 12.127934490999905, 421, 118322,                                             118322, 0.0, 134966.984375
162, -4738.736374664586, 2, 8.533268248022068, 277, 118599,                                             118599, 0.0, 128392.0703125
163, 78.70859757141443, 4, 11.85036755001056, 406, 119005,                                             119005, 0.0, 118647.765625
164, 254.46024411916733, 4, 11.733803658018587, 405, 119410,                                             119410, 0.0, 114265.4140625
165, -128.53999293898232, 4, 10.929401183995651, 374, 119784,                                             119784, 0.0, 126762.859375
166, -3829.1974240080453, 2, 9.446058893983718, 332, 120116,                                             120116, 0.0, 122582.484375
167, 55.06601608986966, 4, 10.536779280984774, 380, 120496,                                             120496, 0.0, 116517.7265625
168, 3817.7217726409435, 1, 5.732440645020688, 202, 120698,                                             120698, 0.0, 117583.171875
169, 231.37015415495262, 4, 10.816717031993903, 386, 121084,                                             121084, 0.0, 116179.7109375
170, -368.40347096463665, 4, 10.338004482997349, 381, 121465,                                             121465, 0.0, 148939.921875
171, 447.47270381450653, 4, 10.612752896995516, 377, 121842,                                             121842, 0.0, 110604.59375
172, 109.49661309330259, 4, 9.844758890976664, 337, 122179,                                             122179, 0.0, 116177.78125
173, -162.50602320570033, 4, 10.739963858999545, 373, 122552,                                             122552, 0.0, 106833.15625
174, -1535.0163996464107, 4, 10.64807932099211, 360, 122912,                                             122912, 0.0, 102607.765625
175, 3846.5230123996735, 1, 6.117091805994278, 213, 123125,                                             123125, 0.0, 91418.40625
176, 3543.4544792175293, 1, 1.1174332720111124, 30, 123155,                                             123155, 0.0, 89201.953125
177, -3354.7978771924973, 2, 3.5094723500078544, 118, 123273,                                             123273, 0.0, 104162.8203125
178, -3585.697170704603, 2, 9.339614673983306, 325, 123598,                                             123598, 0.0, 110149.8671875
179, 140.0163003206253, 4, 10.828167502011638, 381, 123979,                                             123979, 0.0, 111448.8828125
180, 122.21278609902947, 4, 9.930717085982906, 338, 124317,                                             124317, 0.0, 118316.140625
181, 178.13320097513497, 4, 9.822240225999849, 337, 124654,                                             124654, 0.0, 116597.3984375
182, -2863.6765305593144, 4, 10.638341523997951, 354, 125008,                                             125008, 0.0, 117953.4765625
183, 3831.8865221738815, 1, 5.114837258995976, 172, 125180,                                             125180, 0.0, 113594.6953125
184, -3632.9806374562904, 4, 10.130860675999429, 349, 125529,                                             125529, 0.0, 110954.828125
185, -3321.5423148763366, 2, 9.221501888998318, 316, 125845,                                             125845, 0.0, 102078.203125
186, 3681.2325541973114, 1, 3.3216932880168315, 111, 125956,                                             125956, 0.0, 102342.8984375
187, -1869.2253890247084, 4, 10.721774389996426, 361, 126317,                                             126317, 0.0, 92747.609375
188, 3860.4058490991592, 1, 6.111183001019526, 205, 126522,                                             126522, 0.0, 96847.046875
189, -3355.840120841749, 2, 3.831524556997465, 129, 126651,                                             126651, 0.0, 102996.71875
190, -913.4890915155411, 4, 10.726648445008323, 350, 127001,                                             127001, 0.0, 87424.1796875
191, -3305.8143312335014, 2, 9.025772302004043, 309, 127310,                                             127310, 0.0, 92190.8828125
192, 3857.7792884111404, 1, 5.123638399003539, 183, 127493,                                             127493, 0.0, 94025.890625
193, -3962.0691076391377, 2, 8.214051203016425, 284, 127777,                                             127777, 0.0, 91399.4921875
194, 3603.940153837204, 1, 2.117850320006255, 62, 127839,                                             127839, 0.0, 93715.8515625
195, -4100.20975193684, 2, 7.117298739001853, 246, 128085,                                             128085, 0.0, 91670.2890625
196, 15.113393508610898, 4, 10.336308650003048, 382, 128467,                                             128467, 0.0, 85992.453125
197, -161.00389265082777, 4, 10.84339850602555, 393, 128860,                                             128860, 0.0, 79121.90625
198, -402.5665864944458, 4, 10.539706306008156, 370, 129230,                                             129230, 0.0, 84500.09375
199, 293.13526198267937, 4, 11.038525326992385, 378, 129608,                                             129608, 0.0, 79061.9140625
200, 3565.3457214832306, 1, 0.9164836019917857, 30, 129638,                                             129638, 0.0, 106604.8515625
201, -4186.61310542142, 2, 9.253878207993694, 315, 129953,                                             129953, 0.0, 94772.484375
202, -69.64903150592, 4, 10.337480456015328, 374, 130327,                                             130327, 0.0, 90294.75
203, -73.58340462809429, 4, 11.032626768981572, 394, 130721,                                             130721, 0.0, 75281.140625
204, -401.2944591641426, 4, 10.336828408006113, 362, 131083,                                             131083, 0.0, 89828.9453125
205, 3691.1605820655823, 1, 3.710450693004532, 111, 131194,                                             131194, 0.0, 90689.171875
206, -4407.025789767504, 2, 6.83744291801122, 240, 131434,                                             131434, 0.0, 79431.6328125
207, 630.3224479854107, 4, 10.730328745004954, 380, 131814,                                             131814, 0.0, 83131.5234375
208, 3764.9984509944916, 1, 4.320190345984884, 148, 131962,                                             131962, 0.0, 85451.3046875
209, -1231.496863783832, 4, 10.723804472974734, 363, 132325,                                             132325, 0.0, 68503.03125
210, 76.86304239439778, 4, 10.59484419200453, 375, 132700,                                             132700, 0.0, 72537.0390625
211, -4051.8611737224273, 2, 9.535825086990371, 326, 133026,                                             133026, 0.0, 76520.015625
212, -140.87626681904658, 4, 10.848350518004736, 355, 133381,                                             133381, 0.0, 74730.4609375
213, 77.96795402653515, 4, 10.726110562012764, 378, 133759,                                             133759, 0.0, 75151.203125
214, 39.83862808451522, 4, 9.739259944006335, 336, 134095,                                             134095, 0.0, 73096.2109375
215, 3809.3291558027267, 1, 5.718715510010952, 189, 134284,                                             134284, 0.0, 59404.984375
216, -221.42672766558826, 4, 10.340388362994418, 358, 134642,                                             134642, 0.0, 59578.3984375
217, -459.81878919291194, 4, 10.727866963017732, 370, 135012,                                             135012, 0.0, 71716.2109375
218, -277.43305504045566, 4, 10.034332291019382, 326, 135338,                                             135338, 0.0, 65008.71875
219, 171.68120963928232, 4, 9.92483967600856, 339, 135677,                                             135677, 0.0, 60183.07421875
220, -374.0256830591243, 4, 9.93516793800518, 337, 136014,                                             136014, 0.0, 69163.96875
221, -1467.1913389181427, 4, 10.522623536991887, 368, 136382,                                             136382, 0.0, 63140.0390625
222, 3628.705737888813, 1, 2.519876715989085, 82, 136464,                                             136464, 0.0, 62604.73828125
223, -3915.691448821686, 4, 10.727246440015733, 374, 136838,                                             136838, 0.0, 63393.33203125
224, -193.0063504858408, 4, 9.851037132000783, 336, 137174,                                             137174, 0.0, 60439.10546875
225, -25.257693155435845, 4, 10.541004263010109, 354, 137528,                                             137528, 0.0, 55762.86328125
226, 83.00304797291756, 4, 10.735358464007732, 364, 137892,                                             137892, 0.0, 58759.59375
227, -427.33988654613495, 4, 10.637978190003196, 389, 138281,                                             138281, 0.0, 60591.83203125
228, -141.6640953924507, 4, 10.543990595004288, 382, 138663,                                             138663, 0.0, 57840.5546875
229, -106.0411748175975, 4, 10.925886262994027, 370, 139033,                                             139033, 0.0, 66378.2421875
230, -86.70069772563875, 4, 10.634279215009883, 367, 139400,                                             139400, 0.0, 64030.1640625
231, -25.077421489870176, 4, 9.818492196005536, 314, 139714,                                             139714, 0.0, 63046.140625
232, 3915.61637622118, 1, 8.322029051021673, 258, 139972,                                             139972, 0.0, 64983.796875
233, -2935.1258919239044, 2, 8.235521411988884, 280, 140252,                                             140252, 0.0, 66428.5390625
234, -310.1823714375496, 4, 9.739507468009833, 327, 140579,                                             140579, 0.0, 60170.9375
235, 198.54924880216277, 4, 10.84174685299513, 370, 140949,                                             140949, 0.0, 52441.60546875
236, -208.39675273699686, 4, 9.738952864019666, 340, 141289,                                             141289, 0.0, 63391.01171875
237, -3272.7435075109825, 2, 10.727137592999497, 348, 141637,                                             141637, 0.0, 59278.76953125
238, -609.408870100975, 4, 10.027940881991526, 338, 141975,                                             141975, 0.0, 57446.8515625
239, -58.68020684993826, 4, 9.739623825997114, 340, 142315,                                             142315, 0.0, 49202.5859375
240, -49.26388646432315, 4, 10.729318209982011, 370, 142685,                                             142685, 0.0, 52344.14453125
241, -267.06454015988857, 4, 10.514401613996597, 363, 143048,                                             143048, 0.0, 54506.484375
242, 482.13825030624866, 4, 10.723759494983824, 373, 143421,                                             143421, 0.0, 49182.9375
243, -143.98819756950252, 4, 10.338632317987503, 371, 143792,                                             143792, 0.0, 55737.96875
244, -287.52068108320236, 4, 10.83187587800785, 394, 144186,                                             144186, 0.0, 58423.0859375
245, -382.1004275083542, 4, 10.341030312993098, 370, 144556,                                             144556, 0.0, 57034.41796875
246, -267.2283088564873, 4, 11.028339626995148, 380, 144936,                                             144936, 0.0, 60397.578125
247, -336.59625039994717, 4, 9.742913992988179, 330, 145266,                                             145266, 0.0, 57050.0078125
248, -267.30924413912, 4, 10.535853509005392, 357, 145623,                                             145623, 0.0, 51723.40234375
249, 261.84665306075476, 4, 11.030354999005795, 344, 145967,                                             145967, 0.0, 61187.859375
250, -196.06652924977243, 4, 10.341026678011985, 362, 146329,                                             146329, 0.0, 52386.86328125
251, -2347.9820211817278, 4, 10.807896312995581, 370, 146699,                                             146699, 0.0, 48215.5390625
252, -134.5445072920993, 4, 10.441629947978072, 365, 147064,                                             147064, 0.0, 54983.015625
253, 458.3107810355723, 4, 10.725529805989936, 369, 147433,                                             147433, 0.0, 45042.609375
254, -363.44993976317346, 4, 9.853663499001414, 349, 147782,                                             147782, 0.0, 47268.91015625
255, 3648.0364586114883, 1, 2.5178537229949143, 82, 147864,                                             147864, 0.0, 54311.76171875
256, -3070.53452411294, 2, 7.92122025199933, 245, 148109,                                             148109, 0.0, 39762.90234375
257, -392.495141223073, 4, 9.742106177000096, 334, 148443,                                             148443, 0.0, 47083.69921875
258, -120.99009433551691, 4, 11.042394743999466, 383, 148826,                                             148826, 0.0, 54518.85546875
259, -1027.2815926969051, 4, 10.339784078008961, 307, 149133,                                             149133, 0.0, 48523.2265625
260, -210.50025916844606, 4, 10.728819148993352, 361, 149494,                                             149494, 0.0, 43811.73828125
261, -104.80056014843285, 4, 10.120156652003061, 350, 149844,                                             149844, 0.0, 48622.40625
262, 3603.992044687271, 1, 1.9158644459967036, 61, 149905,                                             149905, 0.0, 48046.63671875
263, 288.79898220300674, 4, 10.127436507988023, 322, 150227,                                             150227, 0.0, 41859.1640625
264, -55.04105194081785, 4, 10.654813820990967, 367, 150594,                                             150594, 0.0, 47825.34765625
265, -208.13367347978055, 4, 10.72994553798344, 379, 150973,                                             150973, 0.0, 46271.71484375
266, -16.07216464309022, 4, 10.349461742996937, 375, 151348,                                             151348, 0.0, 52048.0625
267, -213.52807210478932, 4, 11.02640033699572, 390, 151738,                                             151738, 0.0, 49917.8046875
268, -232.37028862629086, 4, 9.738354770001024, 346, 152084,                                             152084, 0.0, 52316.08203125
269, -26.22496095232782, 4, 10.728400084015448, 340, 152424,                                             152424, 0.0, 42653.28515625
270, -266.6875482359901, 4, 9.84811085902038, 342, 152766,                                             152766, 0.0, 41565.59375
271, 566.4453519210219, 4, 10.740033459005645, 461, 153227,                                             153227, 0.0, 51322.2109375
272, -217.7189242951572, 4, 10.865963157993974, 365, 153592,                                             153592, 0.0, 39524.84375
273, -141.26424456422683, 4, 9.739611987984972, 345, 153937,                                             153937, 0.0, 49006.76953125
274, -564.7609327547252, 4, 10.726806758000748, 366, 154303,                                             154303, 0.0, 50720.84765625
275, 385.6022452712059, 4, 9.825958762987284, 315, 154618,                                             154618, 0.0, 47014.85546875
276, -1345.965847671032, 4, 10.730281304975506, 369, 154987,                                             154987, 0.0, 44663.59765625
277, -20.30991637893021, 4, 10.539519771002233, 350, 155337,                                             155337, 0.0, 46013.23828125
278, -56.04893625283148, 4, 10.83290813799249, 373, 155710,                                             155710, 0.0, 49123.55859375
279, 594.3990051150322, 4, 10.338475133990869, 369, 156079,                                             156079, 0.0, 52431.59765625
280, -1323.467015773058, 4, 10.931625678000273, 372, 156451,                                             156451, 0.0, 53099.65625
281, -119.74286276940256, 4, 9.914006897975923, 315, 156766,                                             156766, 0.0, 58282.08203125
282, -58.390696324408054, 4, 10.726967777009122, 365, 157131,                                             157131, 0.0, 50039.1875
283, -132.07375512761064, 4, 10.639737109013367, 368, 157499,                                             157499, 0.0, 50337.42578125
284, -78.04352734179702, 4, 10.543355841015, 359, 157858,                                             157858, 0.0, 58776.3828125
285, 3734.694132566452, 1, 4.3088150120165665, 140, 157998,                                             157998, 0.0, 39679.8203125
286, -2752.7510552182794, 4, 9.926940028992249, 335, 158333,                                             158333, 0.0, 45348.8984375
