episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -874.3356213153602, 4, 39.112119455006905, 1558, 25574,                                             25574, 0.0, 53304.7890625
2, -4049.535206482513, 2, 28.39160377799999, 1023, 26597,                                             26597, 0.0, 58392.84375
3, 3563.3947324752808, 1, 1.6102377850038465, 41, 26638,                                             26638, 0.0, 97678.0859375
4, 1426.2456689476967, 4, 38.89320730100735, 1423, 28061,                                             28061, 0.0, 90927.4921875
5, -3411.8673384368885, 2, 15.141232619003858, 514, 28575,                                             28575, 0.0, 102211.53125
6, -4123.085464383243, 3, 21.267112940986408, 769, 29344,                                             29344, 0.0, 88785.9140625
7, -2824.423131664458, 3, 27.474278487992706, 1016, 30360,                                             30360, 0.0, 88313.59375
8, -2311.859428468393, 3, 22.471036158007337, 858, 31218,                                             31218, 0.0, 111625.9765625
9, 3646.197573184967, 1, 3.9218135729897767, 125, 31343,                                             31343, 0.0, 245110.703125
10, -4169.21450141471, 3, 21.47362149399123, 777, 32120,                                             32120, 0.0, 110232.0078125
11, -3338.0174690687563, 3, 19.276085535995662, 697, 32817,                                             32817, 0.0, 91876.21875
12, -4756.295332768001, 2, 20.45845723801176, 730, 33547,                                             33547, 0.0, 114687.4921875
13, -4495.476867651101, 2, 14.252818439999828, 514, 34061,                                             34061, 0.0, 109587.90625
14, -2564.0293136079854, 3, 20.95090953199542, 747, 34808,                                             34808, 0.0, 162073.609375
15, -3855.2433097473113, 3, 16.64344940200681, 581, 35389,                                             35389, 0.0, 111292.0625
16, -4353.635389212344, 3, 27.079842230014037, 976, 36365,                                             36365, 0.0, 98846.3046875
17, 3570.021939635277, 1, 1.3132838780002203, 44, 36409,                                             36409, 0.0, 81468.3046875
18, -3933.324160646647, 2, 13.733525449002627, 477, 36886,                                             36886, 0.0, 149008.40625
19, -4387.2705259239665, 3, 28.69088446898968, 1030, 37916,                                             37916, 0.0, 113080.1796875
20, -5238.467426993884, 3, 24.85042343198438, 919, 38835,                                             38835, 0.0, 135317.5625
21, -3933.042433666298, 2, 18.779319641005713, 707, 39542,                                             39542, 0.0, 119946.75
22, -3143.4104088914464, 3, 24.86629887597519, 876, 40418,                                             40418, 0.0, 180154.28125
23, -2579.6556351279723, 4, 33.907228377996944, 1256, 41674,                                             41674, 0.0, 129471.015625
24, -3176.285513818031, 3, 17.761502909997944, 620, 42294,                                             42294, 0.0, 111787.640625
25, -3668.187433868792, 3, 22.05181920801988, 802, 43096,                                             43096, 0.0, 202641.15625
26, -2551.3707894848194, 3, 23.06677165799192, 839, 43935,                                             43935, 0.0, 174080.6875
27, 3601.0533381700516, 1, 2.1142083010054193, 68, 44003,                                             44003, 0.0, 140973.390625
28, -3779.1246063875733, 2, 32.08744530801778, 1129, 45132,                                             45132, 0.0, 207613.546875
29, -1694.0794808041392, 4, 32.7082958050014, 1195, 46327,                                             46327, 0.0, 177895.625
30, -3173.357451915741, 2, 11.625485168013256, 402, 46729,                                             46729, 0.0, 154189.375
31, 542.7067051025078, 4, 31.59118079498876, 1153, 47882,                                             47882, 0.0, 257523.8125
32, -2490.5043860673904, 2, 15.148976297990885, 532, 48414,                                             48414, 0.0, 291706.125
33, -2434.824604123831, 2, 22.466506581986323, 801, 49215,                                             49215, 0.0, 286775.9375
34, -3494.901755790226, 2, 20.0550431330048, 751, 49966,                                             49966, 0.0, 262852.59375
35, -2605.930901191663, 4, 30.278087312995922, 1102, 51068,                                             51068, 0.0, 229195.71875
36, -2831.3424977981485, 2, 17.96270190301584, 621, 51689,                                             51689, 0.0, 296820.28125
37, -5797.814466537733, 2, 15.858255982020637, 553, 52242,                                             52242, 0.0, 277653.65625
38, -2948.174577733502, 2, 13.93536065198714, 495, 52737,                                             52737, 0.0, 225845.25
39, -3970.7173628509045, 2, 20.07054420100758, 722, 53459,                                             53459, 0.0, 293100.6875
40, -3205.8727157631656, 2, 17.857123755995417, 605, 54064,                                             54064, 0.0, 246321.671875
41, -810.7657634341158, 4, 28.955878417007625, 1052, 55116,                                             55116, 0.0, 268685.21875
42, -3304.0029792018468, 2, 21.967817647004267, 829, 55945,                                             55945, 0.0, 253187.25
